,label,content
0,국제,"중국인들이 자신들의 심기를 건드렸다는 이유 등으로 하는 외국기업 불매운동(보이콧)이 2016년 이후 매년 13건꼴인 것으로 집계됐습니다. 스웨덴 국립 중국센터는 11일(현지시간) 글로벌 기업을 상대로 한 중국인들의 보이콧 사례를 분석해 이같은 연구 결과를 공개했습니다.2008년 이후 이뤄진 보이콧 91건을 사유별로 보면, ‘타이완·홍콩·티베트 등의 주권 문제’가 21건으로 제일 많았고 ‘중국에 대한 편견’이 20건, 나머지는 ‘해당 기업 국가와의 정치적 분쟁’(16건), ‘홍콩 민주화 시위’(13건), ‘신장 위구르족 문제’(11건) 등의 순이었습니다. 센터는 중국인 보이콧의 거의 3분의 1은 중국 정부가 관여한 증거가 있다고 밝혔습니다. 중국의 보이콧 대상은 미국, 일본, 프랑스, 독일, 한국 기업 등의 순이며, 업종별로는 의류, 자동차, 식품, 주류 등으로 나타났습니다.[사진 출처 : 연합뉴스]"
1,정치,"여야 원내대표가 김진표 국회의장 주재로 만나 21대 후반기 국회 원 구성 문제 등을 논의했지만, 합의에 이르지 못했습니다.  다만, 제헌절 이전에 원 구성 협상을 마무리 짓자는데는 공감대를 이뤘습니다. 김 의장과 국민의힘 권성동 대표 직무대행 겸 원내대표, 더불어민주당 박홍근 원내대표는 오늘(21일) 오전 국회의장실에서 만나 1시간가량 대화를 나눴습니다. 국민의힘 박형수 원내대변인은 회동을 마친 뒤 기자들과 만나 “원칙적으로 제헌절 이전까지 원 구성 협상을 마무리 짓자는 부분은 양당 원내대표와 국회의장까지 일정 부분 공감대를 이뤘다”고 말했습니다. 이어 “논의를 효율적으로 진행하기 위해 원 구성 협상 이외에 사법개혁특별위원회 참여 등 여러 다른 전제 조건 부분은 국회의장과 여야 원내대표가 만나서 회동하기로 했고, 상임위원회 배분은 원내수석들끼리 만나서 얘기해 전체적으로 일괄 타결하기로 했다”고 설명했습니다. 비공개 회동 중 일부 고성이 나온 것에 대해선 “과거 사개특위 문제와 ‘검수완박’(검찰 수사권 완전 박탈) 문제를 얘기하는 바람에 그렇게 됐다”고 답했습니다. 더불어민주당 이수진 원내대변인 역시 “국회의장은 ‘지금이 비상한 시기다, 경제위기 상황이고 상반기 무역적자, 외환보유고가 문제 되고 있다’고 했다”며 “제헌절 이전에 원 구성 합의가 이뤄져서 국민들이 기대하는 국회의 역할을 보여주면 좋겠다는 말씀을 했다”고 밝혔습니다. 이어 “박홍근 원내대표는 1달 가까이 국회 공전 상황이 벌어지고 있는데 민생 회복에 힘을 모으자는 데 이견이 없다고 말했다”며 “저희가 법사위원장 자리도 양보했고 국회 선진화 기능도 일정 부분 논의가 필요하지 않나, 국민 신뢰를 회복하자, 국회 협치가 국정운영의 동력이 될 수 있다고 했다”고 전했습니다. 또 “그래서 향후 검찰개혁 합의안이 무산됐던 불신이 회복돼서 그동안의 합의와 약속이 이행되는 국회를 만들어나가자고 말했다”고 덧붙였습니다. 이 원내대변인은 또 “이번 주까지 수석 간 회동을 통해서 그동안 원 구성 협상에서 이견이 있던 부분에 대해 좀 더 진전을 보기로 했다”며 “그 외에도 개혁 조치라든지 4월 합의안에 대한 얘기들도 원내대표와 의장이 논의의 틀을 만들어서 계속 논의하기로 했다”고 말했습니다.[사진 출처 : 연합뉴스 / 국회사진기자단]"
2,사회,"국내 첫 원숭이두창 확진자의 접촉자 모두 증상이 없어 오늘(12일) 오전 0시를 기준으로 감시가 종료됐습니다. 중앙방역대책본부는 오늘 브리핑에서 원숭이두창 확진자와 접촉한 49명 모두 의심증상 없어 접촉자 감시를 종료했다고 밝혔습니다. 방역당국은 “최종 노출일인 지난 6월 21일부터 21일간 중위험 접촉자는 능동감시를 하고 저위험 접촉자에 대해서는 수동감시를 했으며, 전원 의심증상 없이 접촉자 감시가 종료됐다”고 설명했습니다. 국내 첫 원숭이두창 확진자는 지난달 21일 인천공항에 입국한 뒤 본인이 직접 질병관리청에 의심 신고를 해 병원에서 치료를 받았으며, 확진 판정 15일 만인 지난 7일 격리 해제돼 퇴원했습니다. 퇴원 당시 건강 상태는 양호했던 것으로 전해졌습니다.  방역당국은 첫 확진자가 발생함에 따라, 함께 비행기에 탑승한 승객 49명을 접촉자로 분류하고 접촉 위험도에 따라 중위험 8명, 저위험 41명으로 분류해 능동과 수동감시를 해왔습니다 한편, 방역당국은 중위험 접촉자를 대상으로 예방접종 희망 여부를 조사했으나 희망자는 없는 것으로 파악됐습니다.[사진 출처 : 연합뉴스]"
3,사회,"2017년 11월 경북 포항지진을 촉발한 포항지열발전 터를 안정적으로 관리하기 위해 지열정 심부 지진계가 설치됐으나 일부는 제대로 작동되지 않고 있는 것으로 드러났습니다. 한국에너지기술평가원과 지질학회는 지난 5월부터 포항시 흥해읍 포항지열발전 터 지하 4㎞ 깊이 지열정 천400ｍ와 780ｍ, 500ｍ 지점에 심부 지진계를 설치했고, 지하수 수위와 수질 변화를 관측하고 있습니다. 하지만 지하 천400ｍ에 설치된 지진계는 설치한 지 하루 만에, 780ｍ 지진계는 한 달여 만에 작동을 하지 않았습니다. 지질학회 등은 지열정 속에 물이 차 있고 고온이나 압력 때문에 지진계 오류가 생긴 것으로 추정하고 있으며, 지진계를 만든 영국 제조사와 대책을 논의하고 있습니다. 포항지열발전은 2017년 11월 15일 포항에서 발생한 규모 5.4 지진을 촉발했으며, 국내외 전문가로 구성한 포항지진 정부조사연구단은 2019년 3월 지열발전소 물 주입으로 지진이 촉발됐다는 연구 결과를 발표했습니다.[사진 출처 : 연합뉴스]"
4,사회,경기 용인시는 정부 지원을 받지 못하는 '비수급 취약계층' 1천500가구에 20만 원씩 총 3억 원의 일상회복 특별지원금을 지급한다고 밝혔습니다. 특별지원금은 시가 지난해 12월부터 올해 2월까지 사회복지공동모금회와 함께 진행한 '사랑의 열차 이어달리기' 캠페인 성금 12억 8천만 원을 활용해 지급됩니다. 지원 대상은 한시 긴급 생활지원금 등 정부 지원 등에서 제외된 중위소득 51∼75%의 취약 가구입니다. 용인시는 오는 15일까지 각 읍·면·동에서 대상자를 추천받아 경기사회복지공동모금회를 통해 27일 대상자 계좌로 지원금을 지급할 방침입니다.[사진 출처 : 연합뉴스 / 용인시 제공]
5,사회,"양경수 민주노동조합총연맹 위원장은 “윤석열 정부에서 노동정책이 실종됐다”며 “정부와 현안에 대해 이야기할 수 있는 통로가 전혀 없다”고 비판했습니다.  양 위원장은 오늘(12일) 서울 중구 민주노총에서 기자간담회에서 하반기 투쟁계획을 밝히며 이같이 말했습니다.  양 위원장은 “윤석열 정부는 뚜렷한 지향 없이 재벌과 기득권 이익에만 골몰하는 태도”라며 “장시간 노동을 강요하고, 현실성 없는 직무성과급체계를 적용하려는 태도를 바꿔야 한다”고 덧붙였습니다. 이어, 민생이 어려운 상황인 만큼 “정부의 더 많은 역할과 책임이 요구되지만, 긴축을 이야기하고 대기업 감세를 추진하는 정책은 노동자 서민에게 재앙으로 다가올 것”이라고 말했습니다.  양 위원장은 정부와의 대화 창구에 대해 “노정교섭 자리를 요구하고 있지만, 대통령실에서 답변이 없는 상황”이라며 “보수정권이라고 해서 대화를 거부하는 것은 아니고, 인수위 때부터 대화를 요구해왔다”고 밝혔습니다.  양 위원장은 또 장기화되고 있는 대우조선해양 하청노동자들의 파업에 대해서는 대우조선해양의 지분 절반 이상을 보유한 산업은행이 나설 것을 요구했습니다.  양 위원장은 “하청노동자들은 지난 5, 6년간 삭감된 30% 임금의 회복을 요구하고 있다”며 “임금은 대우조선해양도 스스로 판단해 해결하지 못한다. 산업은행이 재정 사용에 대해 허락해야 가능하다”고 덧붙였습니다.  또 민생 문제와 관련해서는 정유사 규제를 통한 기름값 인하와 전기·가스 무상화 등 물가폭등 대책, 재벌·부자 증세, 철도 등 필수공공서비스 민영화 금지 등 사회 공공성 강화 등을 제시했습니다.  양 위원장은 “정유사들이 1년 전 비교적 낮은 값에 구매한 기름을 현재 시장가로 판매해 폭리를 취하고 있다”며 “정유사들의 초과 이익을 환수해 기름값을 안정시키는 데 사용해야 하는데 그 방식은 다양할 수 있다”고 설명했습니다.  민주노총의 투쟁계획에 따르면, 오는 20일 전국금속노동조합이 총파업을 추진 중이고, 9월 24일에는 하반기 투쟁을 선포하는 결의대회, 11월 12일에는 ‘10만 조합원 총궐기 대회’를 열 계획입니다.  양 위원장은 코로나19 확진자가 늘고 있는데 대규모 집회를 예정대로 진행하는지에 대해 “민주노총의 투쟁이 방역 상황을 무시하고 진행된 적은 없다”며 “상황을 고려하면서 노동자 목소리를 효과적으로 전달되는 방안을 찾을 것”이라고 말했습니다.[사진 출처 : 연합뉴스]"
6,스포츠K,"남자프로테니스 공식 홈페이지에서 로저 페더러의 세계 랭킹 기록이 사라져버렸다.국내 테니스 팬들에게 '테니스 황제'로 친숙한 로저 페더러(40)의 세계랭킹이 사라졌다. 무릎 부상 후유증으로 2022년 윔블던마저 결장해 지난해 확보했던 랭킹 포인트가 '0'으로 되면서 벌어진 일이다. 과연 페더러는 부활할 수 있을까?남자프로테니스(ATP)가 11일 자로 발표한 세계 랭킹에서 페더러의 이름은 아예 빠져 버렸다. ATP는 매주 랭킹 포인트의 변동 사항을 반영해 순위를 결정하는데, 1위부터 2,068위까지 명단을 올린다. 페더러가 세계 랭킹 2,068위에도 포함되지 않았다는 뜻이다.ATP 공식 홈페이지의 선수 프로필에도 페더러의 랭킹은 비어 있다(위 사진 참조). 불과 1주일 전까지만 해도 페더러의 랭킹은 97위였다. 하지만 지난해 8강까지 진출한 윔블던 성적이 통째로 빠지면서 세계 랭킹 순위권에서 아예 빠져 버린 결과로 나타났다.ATP 세계 랭킹은 지난 52주간의 투어 출전 성적을 바탕으로 결정된다. 예를 들어 1년 전 윔블던에서 8강에 올랐다면, 올해 윔블던에서 8강 이상의 성적을 거두지 못하면 그대로 랭킹 포인트가 빠지는 시스템이다. 페더러는 지난해 7월 윔블던 이후 단 한 차례의 투어 대회에도 참가하지 못했다. 1년간 개점 휴업 상태로 시간을 보낸 페더러의 모든 랭킹 포인트가 빠져나가면서 그의 세계 랭킹은 순위표에서 삭제됐다.격세지감이다. 1997년 페더러가 16세의 나이에 처음 순위표에 이름을 올린 이후 25년 만에 랭킹이 말소됐다. 페더러는 세계 랭킹 관련 각종 기록 보유자였다. 2004년 2월 처음 세계 1위에 오른 이후 237주 연속 1위를 유지하며 남녀 통틀어 최고 기록을 세웠다. 지난해 조코비치에게 역전당하기 전까지, 통산 310주 세계 1위를 기록하기도 했다.페더러는 작년 윔블던 직후 무릎 수술을 받았다. 이후 재기를 모색했지만, 회복이 더뎌 올해 윔블던 출전을 포기했다. 일단 페더러 측에서는 10월 스위스 바젤에서 열리는 투어 대회 출전을 목표로 하고 있다고 밝혔다. 페더러의 세계 랭킹이 추락하는 동안, 경쟁자인 나달(3위)과 조코비치(7위)는 여전히 올 시즌 메이저 대회를 제패하며 전성기를 유지하고 있다. 한편 올해 윔블던이 러시아 및 벨라루스 국적 선수들의 출전을 금지함에 따라 ATP는 윔블던 대회의 랭킹 점수를 부여하지 않았다. 이에 따라 윔블던 4회 연속 우승을 차지한 조코비치의 순위는 오히려 3위에서 7위로 떨어지는 결과가 나왔다. 윔블던에 불참한 러시아의 다닐 메드베데프는 세계 1위를 유지했다."
7,사회,"오늘(12일) 오전 11시 50분쯤 제주시 연동 신광사거리에서 시내버스와 택시가 부딪치는 사고가 났습니다. 이 사고로 남성 택시 운전자와 택시에 타고 있던 여성 승객 등 2명이 크게 다쳐 병원으로 옮겨졌고, 버스 승객 8명도 경상을 입었습니다. 이 사고 여파로 일대에서는 한때 교통 체증이 빚어지기도 했습니다. 경찰은 버스 운전자와 승객, 목격자 등을 상대로 정확한 사고 경위를 조사하고 있습니다.[사진 출처 : 제주소방서 제공]"
8,경제,"올해 직장인들의 평균 하계휴가 일수는 약 3.6일로 휴가는 8월초에 가장 많이 가는 것으로 조사됐습니다. 한국경영자총협회(경총)가 전국 5인 이상 806개 기업을 대상으로 하계휴가 실태를 조사한 결과 올해 여름휴가 실시기업의 평균 휴가 기간은 3.6일로 집계됐습니다.  다만 기업규모별로 300인 이상은 '5일 이상'이라는 응답이 52.9%, 300인 미만은 '3일'이라는 49.9%로 각각 가장 많았습니다.업종별로는 제조업의 경우 '단기간(약 1주일) 집중적으로 휴가 실시'가 69.3%로 가장 많았던 반면 비제조업은 '상대적으로 넓은 기간(1∼2개월) 동안 휴가 실시'라는 응답이 76.7%로 가장 많았습니다.  단기간 또는 '2주에 걸쳐 교대'로 하계휴가를 실시하는 기업(64.5%)을 대상으로 하계휴가 실시 기간을 조사한 결과, '8월초'라는 응답이 78.1%로 가장 많았습니다.[사진 출처 : 연합뉴스]"
9,경제,"정부가 원전 확대를 위해 경북 울진의 신한울 3·4호기 조기 건설에 나서고, 연내에 천300억 원 규모의 원전 일감을 공급합니다.  산업통상자원부는 오늘(12일) 서울 용산 대통령실에서 윤석열 대통령에게 이같은 내용 등을 업무보고했습니다. 산업부는 지난달 원전산업 협력업체 지원대책을 통해 공급을 약속한 원전 일감 925억 원 외에도 4백억 원 상당의 추가 일감을 발굴해 올해 천3백억 원 규모의 원전 예비품과 설비개선, 그리고 신한울 3·4호기 설계 일감을 공급한다는 계획입니다. 또 신한울 3·4호기는 환경영향평가를 즉시 개시하기 위해 최근 환경부와 관련 실무절차에 착수했고 2024년부터 본격적인 건설을 추진할 계획입니다. 신한울 3·4호기 주계약은 내년 7월까지로 최대한 앞당기고 사전 제작 일감은 내년에 착수한다는 방침으로 기존 원전의 계속 운전에 필요한 절차도 신속히 추진하기로 했습니다.  또 2030년까지 원전 10기 수출을 목표로 체코·폴란드 등을 중심으로 수주 역량을 결집한다는 계획입니다."
